datetime,parameter,value
2026-06-10T10:00Z,pm25,152.3
2026-06-10T10:00Z,co,194.0
2026-06-10T10:00Z,no2,5.7
2026-06-10T10:00Z,so2,8.6
2026-06-10T10:00Z,o3,140.0
2026-06-10T11:00Z,pm10,936.9
2026-06-10T11:00Z,pm25,147.1
2026-06-10T11:00Z,co,204.0
2026-06-10T11:00Z,no2,8.9
2026-06-10T11:00Z,so2,8.2
2026-06-10T11:00Z,o3,132.0
2026-06-10T12:00Z,pm10,922.0
2026-06-10T12:00Z,pm25,151.3
2026-06-10T12:00Z,co,244.0
2026-06-10T12:00Z,no2,15.4
2026-06-10T12:00Z,so2,9.3
2026-06-10T12:00Z,o3,123.0
2026-06-10T13:00Z,pm10,843.8
2026-06-10T13:00Z,pm25,145.3
2026-06-10T13:00Z,co,340.0
2026-06-10T13:00Z,no2,24.4
2026-06-10T13:00Z,so2,11.7
2026-06-10T13:00Z,o3,105.0
2026-06-10T14:00Z,pm10,733.9
2026-06-10T14:00Z,pm25,143.4
2026-06-10T14:00Z,co,467.0
2026-06-10T14:00Z,no2,36.7
2026-06-10T14:00Z,so2,15.2
2026-06-10T14:00Z,o3,81.0
2026-06-10T15:00Z,pm10,577.4
2026-06-10T15:00Z,pm25,134.1
2026-06-10T15:00Z,co,572.0
2026-06-10T15:00Z,no2,45.2
2026-06-10T15:00Z,so2,18.9
2026-06-10T15:00Z,o3,65.0
2026-06-10T16:00Z,pm10,448.9
2026-06-10T16:00Z,pm25,125.7
2026-06-10T16:00Z,co,639.0
2026-06-10T16:00Z,no2,46.5
2026-06-10T16:00Z,so2,23.1
2026-06-10T16:00Z,o3,66.0
2026-06-10T17:00Z,pm10,486.2
2026-06-10T17:00Z,pm25,135.0
2026-06-10T17:00Z,co,685.0
2026-06-10T17:00Z,no2,44.1
2026-06-10T17:00Z,so2,27.4
2026-06-10T17:00Z,o3,75.0
2026-06-10T18:00Z,pm10,590.5
2026-06-10T18:00Z,pm25,152.3
2026-06-10T18:00Z,co,710.0
2026-06-10T18:00Z,no2,41.1
2026-06-10T18:00Z,so2,29.8
2026-06-10T18:00Z,o3,81.0
2026-06-10T19:00Z,pm10,650.1
2026-06-10T19:00Z,pm25,161.1
2026-06-10T19:00Z,co,715.0
2026-06-10T19:00Z,no2,38.2
2026-06-10T19:00Z,so2,28.8
2026-06-10T19:00Z,o3,78.0
2026-06-10T20:00Z,pm10,644.5
2026-06-10T20:00Z,pm25,163.4
2026-06-10T20:00Z,co,700.0
2026-06-10T20:00Z,no2,34.8
2026-06-10T20:00Z,so2,26.0
2026-06-10T20:00Z,o3,72.0
2026-06-10T21:00Z,pm10,577.4
2026-06-10T21:00Z,pm25,155.5
2026-06-10T21:00Z,co,660.0
2026-06-10T21:00Z,no2,32.2
2026-06-10T21:00Z,so2,23.7
2026-06-10T21:00Z,o3,65.0
2026-06-10T22:00Z,pm10,480.6
2026-06-10T22:00Z,pm25,142.5
2026-06-10T22:00Z,co,571.0
2026-06-10T22:00Z,no2,31.3
2026-06-10T22:00Z,so2,22.7
2026-06-10T22:00Z,o3,57.0
2026-06-10T23:00Z,pm10,440.5
2026-06-10T23:00Z,pm25,137.8
2026-06-10T23:00Z,co,458.0
2026-06-10T23:00Z,no2,31.3
2026-06-10T23:00Z,so2,22.3
2026-06-10T23:00Z,o3,49.0
2026-06-11T00:00Z,pm10,398.6
2026-06-11T00:00Z,pm25,118.7
2026-06-11T00:00Z,co,394.0
2026-06-11T00:00Z,no2,29.8
2026-06-11T00:00Z,so2,21.4
2026-06-11T00:00Z,o3,52.0
2026-06-11T01:00Z,pm10,525.3
2026-06-11T01:00Z,pm25,136.4
2026-06-11T01:00Z,co,432.0
2026-06-11T01:00Z,no2,28.2
2026-06-11T01:00Z,so2,23.4
2026-06-11T01:00Z,o3,62.0
2026-06-11T02:00Z,pm10,618.4
2026-06-11T02:00Z,pm25,152.3
2026-06-11T02:00Z,co,518.0
2026-06-11T02:00Z,no2,25.8
2026-06-11T02:00Z,so2,26.2
2026-06-11T02:00Z,o3,78.0
2026-06-11T03:00Z,pm10,776.7
2026-06-11T03:00Z,pm25,174.6
2026-06-11T03:00Z,co,564.0
2026-06-11T03:00Z,no2,22.6
2026-06-11T03:00Z,so2,28.1
2026-06-11T03:00Z,o3,100.0
2026-06-11T04:00Z,pm10,940.6
2026-06-11T04:00Z,pm25,197.0
2026-06-11T04:00Z,co,523.0
2026-06-11T04:00Z,no2,17.8
2026-06-11T04:00Z,so2,28.3
2026-06-11T04:00Z,o3,134.0
2026-06-11T05:00Z,pm10,1043.1
2026-06-11T05:00Z,pm25,209.1
2026-06-11T05:00Z,co,443.0
2026-06-11T05:00Z,no2,12.1
2026-06-11T05:00Z,so2,27.7
2026-06-11T05:00Z,o3,174.0
2026-06-11T06:00Z,pm10,1076.6
2026-06-11T06:00Z,pm25,208.6
2026-06-11T06:00Z,co,378.0
2026-06-11T06:00Z,no2,7.9
2026-06-11T06:00Z,so2,26.6
2026-06-11T06:00Z,o3,204.0
2026-06-11T07:00Z,pm10,1121.3
2026-06-11T07:00Z,pm25,209.1
2026-06-11T07:00Z,co,349.0
2026-06-11T07:00Z,no2,5.8
2026-06-11T07:00Z,so2,25.1
2026-06-11T07:00Z,o3,218.0
2026-06-11T08:00Z,pm10,1180.9
2026-06-11T08:00Z,pm25,212.3
2026-06-11T08:00Z,co,335.0
2026-06-11T08:00Z,no2,5.2
2026-06-11T08:00Z,so2,23.2
2026-06-11T08:00Z,o3,221.0
2026-06-11T09:00Z,pm10,1229.3
2026-06-11T09:00Z,pm25,214.2
2026-06-11T09:00Z,co,330.0
2026-06-11T09:00Z,no2,6.0
2026-06-11T09:00Z,so2,21.7
2026-06-11T09:00Z,o3,217.0
2026-06-11T10:00Z,pm10,1259.1
2026-06-11T10:00Z,pm25,214.2
2026-06-11T10:00Z,co,338.0
2026-06-11T10:00Z,no2,8.8
2026-06-11T10:00Z,so2,20.9
2026-06-11T10:00Z,o3,203.0
2026-06-11T11:00Z,pm10,1147.4
2026-06-11T11:00Z,pm25,204.4
2026-06-11T11:00Z,co,355.0
2026-06-11T11:00Z,no2,12.9
2026-06-11T11:00Z,so2,20.6
2026-06-11T11:00Z,o3,182.0
2026-06-11T12:00Z,pm10,1989.3
2026-06-11T12:00Z,pm25,330.6
2026-06-11T12:00Z,co,367.0
2026-06-11T12:00Z,no2,14.2
2026-06-11T12:00Z,so2,19.8
2026-06-11T12:00Z,o3,158.0
2026-06-11T13:00Z,pm10,1587.0
2026-06-11T13:00Z,pm25,285.0
2026-06-11T13:00Z,co,367.0
2026-06-11T13:00Z,no2,15.8
2026-06-11T13:00Z,so2,19.7
2026-06-11T13:00Z,o3,145.0
2026-06-11T14:00Z,pm10,1069.2
2026-06-11T14:00Z,pm25,217.5
2026-06-11T14:00Z,co,362.0
2026-06-11T14:00Z,no2,17.9
2026-06-11T14:00Z,so2,19.5
2026-06-11T14:00Z,o3,128.0
2026-06-11T15:00Z,pm10,517.8
2026-06-11T15:00Z,pm25,140.6
2026-06-11T15:00Z,co,358.0
2026-06-11T15:00Z,no2,18.9
2026-06-11T15:00Z,so2,19.1
2026-06-11T15:00Z,o3,115.0
2026-06-11T16:00Z,pm10,243.1
2026-06-11T16:00Z,pm25,90.1
2026-06-11T16:00Z,co,358.0
2026-06-11T16:00Z,no2,17.9
2026-06-11T16:00Z,so2,18.5
2026-06-11T16:00Z,o3,113.0
2026-06-11T17:00Z,pm10,152.3
2026-06-11T17:00Z,pm25,67.8
2026-06-11T17:00Z,co,358.0
2026-06-11T17:00Z,no2,15.8
2026-06-11T17:00Z,so2,17.8
2026-06-11T17:00Z,o3,116.0
2026-06-11T18:00Z,pm10,601.6
2026-06-11T18:00Z,pm25,120.6
2026-06-11T18:00Z,co,357.0
2026-06-11T18:00Z,no2,14.1
2026-06-11T18:00Z,so2,17.0
2026-06-11T18:00Z,o3,117.0
2026-06-11T19:00Z,pm10,665.0
2026-06-11T19:00Z,pm25,132.2
2026-06-11T19:00Z,co,352.0
2026-06-11T19:00Z,no2,13.3
2026-06-11T19:00Z,so2,16.1
2026-06-11T19:00Z,o3,112.0
2026-06-11T20:00Z,pm10,637.0
2026-06-11T20:00Z,pm25,125.7
2026-06-11T20:00Z,co,346.0
2026-06-11T20:00Z,no2,12.9
2026-06-11T20:00Z,so2,15.1
2026-06-11T20:00Z,o3,105.0
2026-06-11T21:00Z,pm10,288.7
2026-06-11T21:00Z,pm25,78.2
2026-06-11T21:00Z,co,340.0
2026-06-11T21:00Z,no2,12.7
2026-06-11T21:00Z,so2,14.3
2026-06-11T21:00Z,o3,100.0
2026-06-11T22:00Z,pm10,109.9
2026-06-11T22:00Z,pm25,46.8
2026-06-11T22:00Z,co,330.0
2026-06-11T22:00Z,no2,12.5
2026-06-11T22:00Z,so2,13.6
2026-06-11T22:00Z,o3,98.0
2026-06-11T23:00Z,pm10,181.6
2026-06-11T23:00Z,pm25,51.7
2026-06-11T23:00Z,co,321.0
2026-06-11T23:00Z,no2,12.5
2026-06-11T23:00Z,so2,13.1
2026-06-11T23:00Z,o3,98.0
2026-06-12T00:00Z,pm10,464.7
2026-06-12T00:00Z,pm25,95.7
2026-06-12T00:00Z,co,331.0
2026-06-12T00:00Z,no2,14.8
2026-06-12T00:00Z,so2,13.4
2026-06-12T00:00Z,o3,85.0
2026-06-12T01:00Z,pm10,340.9
2026-06-12T01:00Z,pm25,85.2
2026-06-12T01:00Z,co,384.0
2026-06-12T01:00Z,no2,15.1
2026-06-12T01:00Z,so2,14.5
2026-06-12T01:00Z,o3,92.0
2026-06-12T02:00Z,pm10,161.1
2026-06-12T02:00Z,pm25,61.0
2026-06-12T02:00Z,co,455.0
2026-06-12T02:00Z,no2,15.5
2026-06-12T02:00Z,so2,16.1
2026-06-12T02:00Z,o3,102.0
2026-06-12T03:00Z,pm10,74.5
2026-06-12T03:00Z,pm25,38.5
2026-06-12T03:00Z,co,493.0
2026-06-12T03:00Z,no2,14.8
2026-06-12T03:00Z,so2,17.0
2026-06-12T03:00Z,o3,114.0
2026-06-12T04:00Z,pm10,52.9
2026-06-12T04:00Z,pm25,28.8
2026-06-12T04:00Z,co,464.0
2026-06-12T04:00Z,no2,12.1
2026-06-12T04:00Z,so2,16.7
2026-06-12T04:00Z,o3,130.0
2026-06-12T05:00Z,pm10,150.4
2026-06-12T05:00Z,pm25,46.6
2026-06-12T05:00Z,co,400.0
2026-06-12T05:00Z,no2,8.4
2026-06-12T05:00Z,so2,15.9
2026-06-12T05:00Z,o3,149.0
2026-06-12T06:00Z,pm10,248.7
2026-06-12T06:00Z,pm25,53.4
2026-06-12T06:00Z,co,350.0
2026-06-12T06:00Z,no2,5.7
2026-06-12T06:00Z,so2,15.3
2026-06-12T06:00Z,o3,163.0
2026-06-12T07:00Z,pm10,304.5
2026-06-12T07:00Z,pm25,70.3
2026-06-12T07:00Z,co,328.0
2026-06-12T07:00Z,no2,4.7
2026-06-12T07:00Z,so2,15.1
2026-06-12T07:00Z,o3,168.0
2026-06-12T08:00Z,pm10,489.9
2026-06-12T08:00Z,pm25,83.8
2026-06-12T08:00Z,co,319.0
2026-06-12T08:00Z,no2,4.8
2026-06-12T08:00Z,so2,15.2
2026-06-12T08:00Z,o3,169.0
2026-06-12T09:00Z,pm10,491.7
2026-06-12T09:00Z,pm25,86.1
2026-06-12T09:00Z,co,324.0
2026-06-12T09:00Z,no2,6.0
2026-06-12T09:00Z,so2,16.1
2026-06-12T09:00Z,o3,168.0
2026-06-12T10:00Z,pm10,480.6
2026-06-12T10:00Z,pm25,85.7
2026-06-12T10:00Z,co,352.0
2026-06-12T10:00Z,no2,7.8
2026-06-12T10:00Z,so2,18.3
2026-06-12T10:00Z,o3,169.0
2026-06-12T11:00Z,pm10,488.0
2026-06-12T11:00Z,pm25,87.3
2026-06-12T11:00Z,co,394.0
2026-06-12T11:00Z,no2,10.7
2026-06-12T11:00Z,so2,21.3
2026-06-12T11:00Z,o3,169.0
2026-06-12T12:00Z,pm10,791.6
2026-06-12T12:00Z,pm25,118.7
2026-06-12T12:00Z,co,428.0
2026-06-12T12:00Z,no2,12.8
2026-06-12T12:00Z,so2,14.8
2026-06-12T12:00Z,o3,134.0
2026-06-12T13:00Z,pm10,588.6
2026-06-12T13:00Z,pm25,114.6
2026-06-12T13:00Z,co,437.0
2026-06-12T13:00Z,no2,23.1
2026-06-12T13:00Z,so2,18.2
2026-06-12T13:00Z,o3,112.0
2026-06-12T14:00Z,pm10,462.9
2026-06-12T14:00Z,pm25,109.2
2026-06-12T14:00Z,co,439.0
2026-06-12T14:00Z,no2,37.0
2026-06-12T14:00Z,so2,22.7
2026-06-12T14:00Z,o3,83.0
2026-06-12T15:00Z,pm10,440.5
2026-06-12T15:00Z,pm25,102.2
2026-06-12T15:00Z,co,462.0
2026-06-12T15:00Z,no2,45.2
2026-06-12T15:00Z,so2,25.5
2026-06-12T15:00Z,o3,63.0
2026-06-12T16:00Z,pm10,425.6
2026-06-12T16:00Z,pm25,92.7
2026-06-12T16:00Z,co,541.0
2026-06-12T16:00Z,no2,41.9
2026-06-12T16:00Z,so2,24.8
2026-06-12T16:00Z,o3,63.0
2026-06-12T17:00Z,pm10,457.3
2026-06-12T17:00Z,pm25,93.1
2026-06-12T17:00Z,co,640.0
2026-06-12T17:00Z,no2,32.9
2026-06-12T17:00Z,so2,22.3
2026-06-12T17:00Z,o3,73.0
2026-06-12T18:00Z,pm10,517.8
2026-06-12T18:00Z,pm25,103.6
2026-06-12T18:00Z,co,687.0
2026-06-12T18:00Z,no2,25.8
2026-06-12T18:00Z,so2,20.3
2026-06-12T18:00Z,o3,80.0
2026-06-12T19:00Z,pm10,506.6
2026-06-12T19:00Z,pm25,109.0
2026-06-12T19:00Z,co,628.0
2026-06-12T19:00Z,no2,23.9
2026-06-12T19:00Z,so2,19.7
2026-06-12T19:00Z,o3,79.0
2026-06-12T20:00Z,pm10,423.8
2026-06-12T20:00Z,pm25,104.5
2026-06-12T20:00Z,co,515.0
2026-06-12T20:00Z,no2,23.9
2026-06-12T20:00Z,so2,19.7
2026-06-12T20:00Z,o3,74.0
2026-06-12T21:00Z,pm10,334.3
2026-06-12T21:00Z,pm25,94.3
2026-06-12T21:00Z,co,435.0
2026-06-12T21:00Z,no2,24.4
2026-06-12T21:00Z,so2,19.8
2026-06-12T21:00Z,o3,70.0
2026-06-12T22:00Z,pm10,284.1
2026-06-12T22:00Z,pm25,84.3
2026-06-12T22:00Z,co,419.0
2026-06-12T22:00Z,no2,25.1
2026-06-12T22:00Z,so2,19.7
2026-06-12T22:00Z,o3,65.0
2026-06-12T23:00Z,pm10,245.9
2026-06-12T23:00Z,pm25,76.8
2026-06-12T23:00Z,co,436.0
2026-06-12T23:00Z,no2,26.3
2026-06-12T23:00Z,so2,19.7
2026-06-12T23:00Z,o3,59.0
2026-06-13T00:00Z,pm10,137.8
2026-06-13T00:00Z,pm25,74.3
2026-06-13T00:00Z,co,470.0
2026-06-13T00:00Z,no2,23.1
2026-06-13T00:00Z,so2,28.8
2026-06-13T00:00Z,o3,63.0
2026-06-13T01:00Z,pm10,166.7
2026-06-13T01:00Z,pm25,70.3
2026-06-13T01:00Z,co,540.0
2026-06-13T01:00Z,no2,23.9
2026-06-13T01:00Z,so2,30.4
2026-06-13T01:00Z,o3,70.0
2026-06-13T02:00Z,pm10,229.1
2026-06-13T02:00Z,pm25,72.2
2026-06-13T02:00Z,co,627.0
2026-06-13T02:00Z,no2,25.0
2026-06-13T02:00Z,so2,32.7
2026-06-13T02:00Z,o3,82.0
2026-06-13T03:00Z,pm10,391.2
2026-06-13T03:00Z,pm25,88.5
2026-06-13T03:00Z,co,668.0
2026-06-13T03:00Z,no2,24.5
2026-06-13T03:00Z,so2,34.8
2026-06-13T03:00Z,o3,100.0
2026-06-13T04:00Z,pm10,553.2
2026-06-13T04:00Z,pm25,110.6
2026-06-13T04:00Z,co,615.0
2026-06-13T04:00Z,no2,21.4
2026-06-13T04:00Z,so2,36.9
2026-06-13T04:00Z,o3,129.0
2026-06-13T05:00Z,pm10,609.1
2026-06-13T05:00Z,pm25,124.3
2026-06-13T05:00Z,co,516.0
2026-06-13T05:00Z,no2,16.8
2026-06-13T05:00Z,so2,38.8
2026-06-13T05:00Z,o3,165.0
2026-06-13T06:00Z,pm10,584.9
2026-06-13T06:00Z,pm25,127.6
2026-06-13T06:00Z,co,444.0
2026-06-13T06:00Z,no2,12.8
2026-06-13T06:00Z,so2,39.1
2026-06-13T06:00Z,o3,195.0
2026-06-13T07:00Z,pm10,534.6
2026-06-13T07:00Z,pm25,125.7
2026-06-13T07:00Z,co,436.0
2026-06-13T07:00Z,no2,9.8
2026-06-13T07:00Z,so2,36.8
2026-06-13T07:00Z,o3,217.0
2026-06-13T08:00Z,pm10,474.0
2026-06-13T08:00Z,pm25,120.1
2026-06-13T08:00Z,co,455.0
2026-06-13T08:00Z,no2,7.5
2026-06-13T08:00Z,so2,32.9
2026-06-13T08:00Z,o3,233.0
2026-06-13T09:00Z,pm10,421.9
2026-06-13T09:00Z,pm25,112.2
2026-06-13T09:00Z,co,468.0
2026-06-13T09:00Z,no2,6.5
2026-06-13T09:00Z,so2,29.3
2026-06-13T09:00Z,o3,240.0
2026-06-13T10:00Z,pm10,380.0
2026-06-13T10:00Z,pm25,102.9
2026-06-13T10:00Z,co,447.0
2026-06-13T10:00Z,no2,5.3
2026-06-13T10:00Z,so2,26.0
2026-06-13T10:00Z,o3,236.0
2026-06-13T11:00Z,pm10,339.0
2026-06-13T11:00Z,pm25,95.2
2026-06-13T11:00Z,co,420.0
2026-06-13T11:00Z,no2,5.5
2026-06-13T11:00Z,so2,23.1
2026-06-13T11:00Z,o3,223.0
2026-06-13T12:00Z,pm10,375.3
2026-06-13T12:00Z,pm25,101.7
2026-06-13T12:00Z,co,437.0
2026-06-13T12:00Z,no2,14.7
2026-06-13T12:00Z,so2,31.2
2026-06-13T12:00Z,o3,219.0
2026-06-13T13:00Z,pm10,315.7
2026-06-13T13:00Z,pm25,104.5
2026-06-13T13:00Z,co,532.0
2026-06-13T13:00Z,no2,31.6
2026-06-13T13:00Z,so2,33.4
2026-06-13T13:00Z,o3,182.0
2026-06-13T14:00Z,pm10,317.6
2026-06-13T14:00Z,pm25,112.9
2026-06-13T14:00Z,co,670.0
2026-06-13T14:00Z,no2,55.3
2026-06-13T14:00Z,so2,36.5
2026-06-13T14:00Z,o3,129.0
2026-06-13T15:00Z,pm10,346.5
2026-06-13T15:00Z,pm25,130.4
2026-06-13T15:00Z,co,799.0
2026-06-13T15:00Z,no2,75.7
2026-06-13T15:00Z,so2,39.1
2026-06-13T15:00Z,o3,84.0
2026-06-13T16:00Z,pm10,366.9
2026-06-13T16:00Z,pm25,145.8
2026-06-13T16:00Z,co,901.0
2026-06-13T16:00Z,no2,89.8
2026-06-13T16:00Z,so2,41.1
2026-06-13T16:00Z,o3,54.0
2026-06-13T17:00Z,pm10,378.1
2026-06-13T17:00Z,pm25,151.8
2026-06-13T17:00Z,co,993.0
2026-06-13T17:00Z,no2,100.6
2026-06-13T17:00Z,so2,42.7
2026-06-13T17:00Z,o3,32.0
2026-06-13T18:00Z,pm10,394.9
2026-06-13T18:00Z,pm25,158.3
2026-06-13T18:00Z,co,1074.0
2026-06-13T18:00Z,no2,106.9
2026-06-13T18:00Z,so2,43.2
2026-06-13T18:00Z,o3,16.0
2026-06-13T19:00Z,pm10,396.7
2026-06-13T19:00Z,pm25,161.1
2026-06-13T19:00Z,co,1148.0
2026-06-13T19:00Z,no2,106.9
2026-06-13T19:00Z,so2,42.0
2026-06-13T19:00Z,o3,8.0
2026-06-13T20:00Z,pm10,382.8
2026-06-13T20:00Z,pm25,156.9
2026-06-13T20:00Z,co,1212.0
2026-06-13T20:00Z,no2,102.4
2026-06-13T20:00Z,so2,39.7
2026-06-13T20:00Z,o3,6.0
2026-06-13T21:00Z,pm10,375.3
2026-06-13T21:00Z,pm25,153.7
2026-06-13T21:00Z,co,1255.0
2026-06-13T21:00Z,no2,97.5
2026-06-13T21:00Z,so2,37.5
2026-06-13T21:00Z,o3,5.0
2026-06-13T22:00Z,pm10,362.3
2026-06-13T22:00Z,pm25,151.3
2026-06-13T22:00Z,co,1285.0
2026-06-13T22:00Z,no2,94.9
2026-06-13T22:00Z,so2,35.6
2026-06-13T22:00Z,o3,0.0
2026-06-13T23:00Z,pm10,333.4
2026-06-13T23:00Z,pm25,146.7
2026-06-13T23:00Z,co,1295.0
2026-06-13T23:00Z,no2,91.9
2026-06-13T23:00Z,so2,33.9
2026-06-13T23:00Z,o3,0.0
2026-06-14T00:00Z,pm10,353.0
2026-06-14T00:00Z,pm25,127.1
2026-06-14T00:00Z,co,1254.0
2026-06-14T00:00Z,no2,28.7
2026-06-14T00:00Z,so2,13.8
2026-06-14T00:00Z,o3,49.0
2026-06-14T01:00Z,pm10,328.8
2026-06-14T01:00Z,pm25,125.7
2026-06-14T01:00Z,co,1131.0
2026-06-14T01:00Z,no2,25.5
2026-06-14T01:00Z,so2,16.3
2026-06-14T01:00Z,o3,62.0
2026-06-14T02:00Z,pm10,337.1
2026-06-14T02:00Z,pm25,109.7
2026-06-14T02:00Z,co,958.0
2026-06-14T02:00Z,no2,21.0
2026-06-14T02:00Z,so2,19.8
2026-06-14T02:00Z,o3,81.0
2026-06-14T03:00Z,pm10,369.7
2026-06-14T03:00Z,pm25,95.0
2026-06-14T03:00Z,co,800.0
2026-06-14T03:00Z,no2,16.8
2026-06-14T03:00Z,so2,22.8
2026-06-14T03:00Z,o3,103.0
2026-06-14T04:00Z,pm10,427.5
2026-06-14T04:00Z,pm25,100.8
2026-06-14T04:00Z,co,679.0
2026-06-14T04:00Z,no2,13.4
2026-06-14T04:00Z,so2,25.5
2026-06-14T04:00Z,o3,134.0
2026-06-14T05:00Z,pm10,516.0
2026-06-14T05:00Z,pm25,116.2
2026-06-14T05:00Z,co,574.0
2026-06-14T05:00Z,no2,10.2
2026-06-14T05:00Z,so2,27.6
2026-06-14T05:00Z,o3,168.0
2026-06-14T06:00Z,pm10,506.6
2026-06-14T06:00Z,pm25,115.3
2026-06-14T06:00Z,co,481.0
2026-06-14T06:00Z,no2,7.6
2026-06-14T06:00Z,so2,27.4
2026-06-14T06:00Z,o3,188.0
2026-06-14T07:00Z,pm10,405.1
2026-06-14T07:00Z,pm25,91.0
2026-06-14T07:00Z,co,396.0
2026-06-14T07:00Z,no2,5.4
2026-06-14T07:00Z,so2,22.7
2026-06-14T07:00Z,o3,184.0
2026-06-14T08:00Z,pm10,428.4
2026-06-14T08:00Z,pm25,90.6
2026-06-14T08:00Z,co,324.0
2026-06-14T08:00Z,no2,3.8
2026-06-14T08:00Z,so2,15.6
2026-06-14T08:00Z,o3,166.0
2026-06-14T09:00Z,pm10,367.9
2026-06-14T09:00Z,pm25,84.8
2026-06-14T09:00Z,co,277.0
2026-06-14T09:00Z,no2,3.2
2026-06-14T09:00Z,so2,10.4
2026-06-14T09:00Z,o3,149.0
2026-06-14T10:00Z,pm10,380.0
2026-06-14T10:00Z,pm25,85.0
2026-06-14T10:00Z,co,259.0
2026-06-14T10:00Z,no2,2.5
2026-06-14T10:00Z,so2,8.4
2026-06-14T10:00Z,o3,141.0
2026-06-14T11:00Z,pm10,388.4
2026-06-14T11:00Z,pm25,85.7
2026-06-14T11:00Z,co,266.0
2026-06-14T11:00Z,no2,2.8
2026-06-14T11:00Z,so2,8.2
2026-06-14T11:00Z,o3,133.0
2026-06-14T12:00Z,pm10,362.3
2026-06-14T12:00Z,pm25,78.9
2026-06-14T12:00Z,co,297.0
2026-06-14T12:00Z,no2,8.8
2026-06-14T12:00Z,so2,12.0
2026-06-14T12:00Z,o3,131.0
2026-06-14T13:00Z,pm10,339.0
2026-06-14T13:00Z,pm25,83.6
2026-06-14T13:00Z,co,364.0
2026-06-14T13:00Z,no2,23.2
2026-06-14T13:00Z,so2,17.2
2026-06-14T13:00Z,o3,109.0
2026-06-14T14:00Z,pm10,351.1
2026-06-14T14:00Z,pm25,97.8
2026-06-14T14:00Z,co,455.0
2026-06-14T14:00Z,no2,43.4
2026-06-14T14:00Z,so2,24.5
2026-06-14T14:00Z,o3,77.0
2026-06-14T15:00Z,pm10,382.8
2026-06-14T15:00Z,pm25,114.6
2026-06-14T15:00Z,co,532.0
2026-06-14T15:00Z,no2,61.5
2026-06-14T15:00Z,so2,31.0
2026-06-14T15:00Z,o3,50.0
2026-06-14T16:00Z,pm10,399.5
2026-06-14T16:00Z,pm25,127.6
2026-06-14T16:00Z,co,584.0
2026-06-14T16:00Z,no2,75.5
2026-06-14T16:00Z,so2,36.0
2026-06-14T16:00Z,o3,31.0
2026-06-14T17:00Z,pm10,417.2
2026-06-14T17:00Z,pm25,138.3
2026-06-14T17:00Z,co,622.0
2026-06-14T17:00Z,no2,87.3
2026-06-14T17:00Z,so2,40.2
2026-06-14T17:00Z,o3,16.0
2026-06-14T18:00Z,pm10,444.2
2026-06-14T18:00Z,pm25,148.5
2026-06-14T18:00Z,co,643.0
2026-06-14T18:00Z,no2,94.8
2026-06-14T18:00Z,so2,42.5
2026-06-14T18:00Z,o3,6.0
2026-06-14T19:00Z,pm10,444.2
2026-06-14T19:00Z,pm25,153.7
